date,volumeUSDChange,volumeToken0Change,volumeToken1Change,tvlUSDChange,txCount,feesUSD
1714262400,32209047.472743757,32286010.713486858,9651.872237250389,85882.34230173379,1322,20608.69583418378910649708250095564
1714348800,-31767495.03255113,-31847383.92959167,-9524.739103772285,-179934.27190834284,887,4724.948317908225588425811087634228
1714435200,44730948.614828885,44747468.85053896,15124.89976706195,1836780.4494931102,1629,27090.42262532266601589963434512616
1714521600,-27540886.745950628,-27546936.853142597,-9008.536560258304,-4734334.628890913,1556,13319.97925234735151377729733028916
1714608000,-19375196.099145647,-19393545.814182222,-6600.760621129927,96443.17916647345,917,3632.38120277452800126829571842484
1714694400,-765998.8796032323,-749773.3004568266,-320.68902061430936,470300.18350219354,842,3249.381762972911595828250383042312
1714780800,19946705.37282409,19925459.08381716,6325.153334117953,1595907.6322119199,993,13222.73444938495699823272251526784
1714867200,-715337.6292191036,-701505.9374662004,-263.7928074817355,105318.6683600992,924,12865.06563477540644233155192661479
1714953600,-14419247.410258805,-14419987.117176695,-4590.384758077855,-281095.0361157134,897,5655.441929646003432274571085355778
1715040000,-6882615.836195461,-6882038.12182286,-2161.6101371457553,-282119.25371889025,712,2214.134011548272206329456586117673
1715126400,1664381.7820642907,1660173.749779584,590.8601008384521,-1673686.6956426427,923,3046.324902580417823355736697889452
1715212800,-2493099.3943762193,-2488239.875894232,-833.4624823393619,288838.2844270021,693,1799.775205392308154778565711283546
1715299200,2975699.515536451,2940256.904901,1026.6915925749156,970939.5168363377,722,3287.624963160533336293187294674358
1715385600,-3513196.438265074,-3483995.0616732957,-1177.6398203924691,41233.52404790372,534,1531.026744027996408650068578728648
1715472000,-573533.8484710203,-570814.0904457644,-199.7604763930276,-1454673.7149468325,604,1244.259819792486344850579768795119
1715558400,6689833.730115076,6686432.193978214,2274.5535669052224,1095476.3818180524,889,4589.176684850023957173464031402101
1715644800,20165977.647768676,20167222.637411784,6973.304890724327,-258211.64898051322,1105,14672.16550873436284112168927008422
1715731200,-5559089.101906646,-4967146.001415875,-2241.734109007358,651861.0213788971,1037,11892.62095778103910573199921781897
1715817600,-13314962.577001251,-13904400.951564934,-4314.922013497499,-389919.5149010271,784,5235.13966928041368127712403682202
1715904000,-4234176.940779838,-4230350.110466005,-1463.3886695231126,599421.8301499523,783,3118.051198890494735668629639001125
1715990400,7998863.84145422,7999171.530404642,2484.3512144458196,1316923.076788254,849,7117.483119617604194363121045744686
1716076800,-688097.755578395,-759880.4335642122,-189.35590585628506,-176650.07966028526,929,6773.434241828406870054961011750002
1716163200,19447361.43151225,19516305.839378744,5865.119858176789,9119618.23248854,1400,16497.11495758453424593998023380863
1716249600,-22314801.328557283,-22203918.137741297,-7401.248165089861,-11954126.780515093,1019,5339.714293305891772085399206825319
1716336000,-5719453.192860981,-5831266.633060718,-1512.170118903083,-183679.18192289025,700,2479.987696875400985595631039847176
1716422400,8615372.729850383,8623410.01715998,2253.3557847638085,84631.86574583128,1074,6787.674061800592319937475706435288
1716508800,-9096403.30560486,-9102480.690991467,-2374.3762673722026,-119073.03586789593,677,2239.47240899816222913210430685118
1708041600,-12676729.688942451,-240.99903193,-4439.526179351733,2073161.7375245094,242,69958.80988356472724861628272030043
1708128000,-19147044.388522346,-368.28807039000003,-6794.471757444548,-3503585.9587635994,75,12517.67671799768376626613577314148
1708214400,13598644.353863679,261.31744403,4761.8562152758195,7938909.917763233,157,53313.6097795887184356458625538542
1708300800,18912315.176391616,361.2344005300001,6255.601689520786,3402413.2631707788,253,110050.5553087635786506849397023323
1708387200,6749385.997048363,132.5093152999999,2236.5691198225395,8871435.434681416,325,130298.7132999086697283222909249788
1708473600,-10161201.651243255,-190.94407432999992,-3469.701720440067,-6997415.415189981,241,99815.10834617889442254475806085203
1708560000,2712206.6309977844,51.138651369999934,780.3900378724829,-6795865.281877041,248,107951.728239172245188384002858393
1708646400,-22666609.45443882,-435.80431344,-7550.444656172007,-7699886.438470423,115,39951.89987585578102275498732544095
1708732800,-7044068.670690723,-138.23327399,-2406.0304505887534,9515828.95544964,82,18819.69386378361576135215372544288
1708819200,23361921.193342842,448.78699707000004,7544.899547574513,10472770.131655514,185,88905.45744381214883502931342722622
1708905600,-2448374.1731718257,-56.90143644,-968.6963345557906,12160067.304801583,203,81560.33492429667239613304001283188
1708992000,15407526.636429556,242.6838703699999,4478.320526294463,15996959.985244751,248,127782.91483358534772130806595268
1709078400,85780877.44260398,1396.7883533899999,25470.477584896238,23501853.714831173,471,385125.5471613972513820875201744396
1709164800,-24740359.04099676,-479.43393319999996,-8347.930827352924,-2319998.5856708884,504,310904.470038406970683003307345173
1709251200,-74379794.61228475,-1201.98993964,-21701.125884771907,26448439.616055906,182,87765.08620155272794056112459934971
1709337600,-12723121.805003349,-206.72122763,-3780.5663940516197,-3735543.5543296933,115,49595.72078654267663099417084022666
1709424000,2735419.647548888,44.398052689999986,812.1478391543415,16134141.30699122,94,57801.97972918933677364188438100672
1709510400,56472925.21336983,840.8510259300001,15751.48505224128,27340673.718212664,360,227220.7553692988612033045588746704
1709596800,103559860.52154642,1580.05748921,28106.4493411737,-23491947.81768334,647,537900.3369339381115656408413274294
1709683200,-96433258.45106329,-1478.3867418000002,-27432.893422867113,30261034.433939815,351,248600.5615807482285868689321530337
1709769600,-27963969.354600422,-433.9673806799999,-7755.884074097179,5973648.655053258,254,164708.6535169469678138362161150118
1709856000,6294913.099687718,76.11465618,1227.8621902640461,7953559.472351432,246,183593.3928160101260340404963300562
1709942400,-49860838.43660346,-728.85798471,-12619.500530047524,-209448.1550489664,87,34010.87750619975463896768492651623
1710028800,20509558.764954567,294.83754769999996,5286.294769405223,-3730386.2616460323,152,95539.55380106346596663463208700533
1710115200,22452371.042399682,304.95044948,5459.773051011254,30971664.584396243,236,162896.6669282625108465466106653481
1710201600,-12290535.61457058,-178.89266285999997,-3161.3188548560356,-18836970.597619057,205,126025.0600845507573712001291621452
1710288000,-11759601.975240089,-170.03761203,-2955.70359783004,11563979.643346429,172,90746.25415883050521155567029861044
1710374400,15196419.902350053,214.90919272999997,4095.405929383821,-18135007.62731099,196,136335.513865880663421875146212036
1710460800,2160143.8715255335,67.24363368000002,1246.2062409905502,-6058493.460799694,246,142815.9454804572527895577507850415
1710547200,-18120051.7124596,-261.82751046,-4760.334957983002,-29017123.535373688,169,88455.79034307845484867483754881499
1710633600,7072737.847102337,114.72105363000003,2226.8322991713003,20186964.381834507,233,109674.0038843854594708698706882779
1710720000,-8695074.471297022,-139.07311492000002,-2495.76091595204,-15264573.497543454,208,83588.78047049440550787363093700579
1710806400,70066708.03710662,1105.29355634,21574.296738417415,-53831154.10119581,545,293788.9045818142621624419193989484
1710892800,31455878.731935933,515.6975228200001,9868.421030718742,52978537.007418275,542,388156.5407776220529331741349820232
1710979200,-66643470.701749295,-1093.56421081,-21457.11579065251,-7655528.02415055,353,188226.1286723741697067953977408424
1711065600,-22205603.42268107,-306.39722322,-5795.976629381785,-26103571.67993599,201,121609.3184043309542378671626888678
1711152000,-26038710.319726616,-411.04016399,-7757.1106378190025,16580865.294638753,158,43493.18744515110204273017098015074
1711238400,-833630.7371878773,-12.406477609999996,-202.37416088828786,43399486.78037429,141,40992.29523358747268931962175394187
1711324800,-1152483.4471127037,-28.06141538,-528.3894894412101,-8696442.095224261,133,37534.84489224936237223624335424182
1711411200,-4382355.198663841,-67.02118427,-1298.5767410562748,-16944602.74368143,100,24387.77929625783807306540846242889
1711497600,3036340.237400853,45.94684767,928.8785372256593,-13945798.062357605,129,33496.80000846039429477430028503564
1711584000,-1111639.2011299077,-18.67729645999998,-346.4121984968797,10481562.616235197,111,30161.88240507067352044696798844299
1711670400,-853870.8627301324,-11.221952360000017,-221.53640504228497,-7143677.104979038,117,27600.26981688027688996745254449053
1711756800,822375.8779031169,11.582040910000018,234.90659580000965,-43766573.099844694,135,30067.39745058962780884512980749225
1711843200,5213862.885270573,73.54808011,1397.7641555365753,14159129.38687408,130,45708.9861064013462241280018998926
1711929600,1795271.0224438347,29.064224759999973,617.3270802598963,-14800606.224357128,150,51094.79917373285319695875441218334
1712016000,2094828.6184618436,44.25708045000002,920.5275249087126,-28122992.91921884,164,57379.28502911837727626704010172986
1712102400,4979262.553262528,75.14682796,1494.2152794750327,2197411.940607071,209,72317.07268890596725576542831924559
1712188800,-2465951.8632649407,-44.067309780000016,-790.6250536204725,6251177.218073666,220,64919.21709911114777124619221091577
1712275200,-2452903.6705750227,-35.74347392999999,-616.7057288963233,-1013849.4544082284,222,57560.50608738607931960131879341992
1712361600,-14605291.980993066,-218.37474207999998,-4499.1436063460715,9997094.463003993,98,13744.63014440687680591891458345211
1712448000,8148745.618915994,116.38758784,2371.402455465005,4648234.607330918,176,38190.86700115485928692681069063472
1712534400,30135560.503614206,415.94493101,8157.989486289174,31909160.874441743,270,128597.5485119974707219932244511931
1712620800,-21949103.820967216,-301.22659036,-6081.955397539973,-27351121.880986452,164,62750.2370490958312820191507713751
1712707200,-9749347.364792246,-136.19958407000001,-2611.983021650743,7750546.228982091,121,33502.19495471908750123141733281347
1712793600,2312269.870553283,29.264677309999996,599.2081611675912,-5817291.04203248,162,40439.00456637893622182233536622231
1712880000,28116834.02003794,428.40894829,9080.907301673718,-32577112.00681907,173,124789.5066264927633660300971164248
1712966400,16380624.877700083,295.61952425000004,6540.009273863923,-35912750.15397775,318,173931.3812595930080213284762747206
1713052800,-24873676.838803712,-398.79010726,-8476.126097124616,19232484.80920452,319,99310.35074318187584501451910605162
1713139200,3827529.7229950465,53.150831100000005,758.4635547227317,-3569108.8784148097,407,110792.9399121670185616326477177317
1713225600,-22200586.083251484,-335.13534178,-6894.673891887088,78829.08155697584,196,44191.18166241256785568094183761322
1713312000,5432378.994529314,92.98712357999997,1911.4044809086427,-13863648.024948478,239,60488.31864600051145922789287557244
1713398400,-7199544.578874549,-118.30987076999997,-2410.5671919836777,13214435.01660645,166,38889.68490937686293817612651531426
1713484800,11048930.97651556,173.77344975,3652.437620287881,-3175573.883814156,264,72036.47783892354513169890322422454
1713571200,-16024509.09912628,-259.59889609,-5409.393143375315,13528245.113229096,121,23962.95054154470259754594207855152
